W.L,Weight.class,Method,Round,Time,Fighter1,Fighter2,Fight_url,Date,Kd1,SigStrikes1,TotStrikes1,Td1,SubAtt1,Pass1,Rev1,Kd2,SigStrikes2,TotStrikes2,Td2,SubAtt2,Pass2,Rev2,Head1,Body1,Leg1,Distance1,Clinch1,Ground1,Head2,Body2,Leg2,Distance2,Clinch2,Ground2
win,Women's Bantamweight,"KO/TKO

      

      
        Punches",3,4:54,Marion Reneau,Talita Bernardo,http://www.fightmetric.com/fight-details/0ac25b4180406ca1,"September 02, 2017","
      0
    ","
      57 of 127
    ","
      118 of 192
    ","
      0 of 0
    ","
      5
    ","
      2
    ","
      1
    ","
      0
    ","
      22 of 88
    ","
      38 of 112
    ","
      3 of 7
    ","
      1
    ","
      2
    ","
      0
    ","
      47 of 116
    ","
      9 of 10
    ","
      1 of 1
    ","
      24 of 68
    ","
      10 of 11
    ","
      23 of 48
    ","
      11 of 75
    ","
      4 of 5
    ","
      7 of 8
    ","
      18 of 83
    ","
      1 of 1
    ","
      3 of 4
    "
win,Welterweight,U-DEC,3,5:00,Leon Edwards,Bryan Barberena,http://www.fightmetric.com/fight-details/7303ae36077411d9,"September 02, 2017","
      0
    ","
      23 of 51
    ","
      58 of 87
    ","
      3 of 6
    ","
      3
    ","
      5
    ","
      0
    ","
      1
    ","
      44 of 87
    ","
      115 of 163
    ","
      0 of 0
    ","
      1
    ","
      0
    ","
      0
    ","
      13 of 40
    ","
      3 of 4
    ","
      7 of 7
    ","
      21 of 49
    ","
      2 of 2
    ","
      0 of 0
    ","
      28 of 65
    ","
      9 of 10
    ","
      7 of 12
    ","
      17 of 56
    ","
      23 of 24
    ","
      4 of 7
    "
win,Welterweight,U-DEC,3,5:00,Darren Till,Bojan Velickovic,http://www.fightmetric.com/fight-details/b1f7bc82f7dce1b9,"September 02, 2017","
      0
    ","
      49 of 87
    ","
      50 of 88
    ","
      1 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      34 of 144
    ","
      69 of 181
    ","
      0 of 3
    ","
      0
    ","
      0
    ","
      0
    ","
      42 of 79
    ","
      1 of 1
    ","
      6 of 7
    ","
      32 of 67
    ","
      1 of 1
    ","
      16 of 19
    ","
      16 of 109
    ","
      2 of 7
    ","
      16 of 28
    ","
      32 of 141
    ","
      0 of 1
    ","
      2 of 2
    "
win,Lightweight,"KO/TKO

      

      
        Punch",1,1:24,Mairbek Taisumov,Felipe Silva,http://www.fightmetric.com/fight-details/b3bf1b6ad2d1a533,"September 02, 2017","
      1
    ","
      2 of 4
    ","
      2 of 4
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0 of 7
    ","
      0 of 7
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 2
    ","
      0 of 1
    ","
      1 of 1
    ","
      2 of 4
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 6
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 7
    ","
      0 of 0
    ","
      0 of 0
    "
win,Lightweight,"SUB

      

      
        North-South Choke",3,1:26,Michel Prazeres,Mads Burnell,http://www.fightmetric.com/fight-details/5afbc04a153d7efd,"September 02, 2017","
      0
    ","
      26 of 48
    ","
      43 of 69
    ","
      4 of 6
    ","
      1
    ","
      15
    ","
      0
    ","
      0
    ","
      10 of 30
    ","
      12 of 32
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      21 of 38
    ","
      5 of 10
    ","
      0 of 0
    ","
      11 of 31
    ","
      4 of 5
    ","
      11 of 12
    ","
      4 of 21
    ","
      5 of 8
    ","
      1 of 1
    ","
      8 of 27
    ","
      2 of 3
    ","
      0 of 0
    "
win,Lightweight,U-DEC,3,5:00,Rustam Khabilov,Desmond Green,http://www.fightmetric.com/fight-details/605c2ad801f594b3,"September 02, 2017","
      0
    ","
      34 of 108
    ","
      35 of 109
    ","
      3 of 11
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      47 of 111
    ","
      53 of 119
    ","
      1 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      22 of 90
    ","
      6 of 11
    ","
      6 of 7
    ","
      31 of 99
    ","
      3 of 9
    ","
      0 of 0
    ","
      22 of 80
    ","
      7 of 12
    ","
      18 of 19
    ","
      39 of 96
    ","
      8 of 15
    ","
      0 of 0
    "
win,Light Heavyweight,U-DEC,3,5:00,Aleksandar Rakic,Francimar Barroso,http://www.fightmetric.com/fight-details/89f83750703d5fd3,"September 02, 2017","
      0
    ","
      24 of 55
    ","
      36 of 69
    ","
      2 of 14
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      46 of 150
    ","
      75 of 179
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      14 of 39
    ","
      0 of 4
    ","
      10 of 12
    ","
      22 of 53
    ","
      0 of 0
    ","
      2 of 2
    ","
      22 of 114
    ","
      10 of 16
    ","
      14 of 20
    ","
      44 of 144
    ","
      2 of 6
    ","
      0 of 0
    "
win,Featherweight,"SUB

      

      
        Rear Naked Choke",2,4:22,Zabit Magomedsharipov,Mike Santiago,http://www.fightmetric.com/fight-details/ecbc282542a395c2,"September 02, 2017","
      0
    ","
      24 of 67
    ","
      32 of 77
    ","
      2 of 7
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      45 of 65
    ","
      70 of 97
    ","
      1 of 3
    ","
      2
    ","
      2
    ","
      2
    ","
      6 of 40
    ","
      7 of 14
    ","
      11 of 13
    ","
      10 of 46
    ","
      14 of 21
    ","
      0 of 0
    ","
      34 of 52
    ","
      8 of 10
    ","
      3 of 3
    ","
      25 of 41
    ","
      8 of 11
    ","
      12 of 13
    "
win,Light Heavyweight,"KO/TKO

      

      
        Punches",2,2:32,Abdul-Kerim Edilov,Bojan Mihajlovic,http://www.fightmetric.com/fight-details/af5f287198f20eb4,"September 02, 2017","
      0
    ","
      1 of 13
    ","
      7 of 21
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      77 of 125
    ","
      150 of 210
    ","
      2 of 2
    ","
      1
    ","
      0
    ","
      0
    ","
      1 of 12
    ","
      0 of 1
    ","
      0 of 0
    ","
      1 of 11
    ","
      0 of 1
    ","
      0 of 1
    ","
      59 of 105
    ","
      16 of 17
    ","
      2 of 3
    ","
      9 of 22
    ","
      6 of 12
    ","
      62 of 91
    "
win,Lightweight,"KO/TKO

      

      
        Punches",1,4:28,Thibault Gouti,Andrew Holbrook,http://www.fightmetric.com/fight-details/b7ab4cd6ce7a71dd,"September 02, 2017","
      1
    ","
      41 of 86
    ","
      43 of 88
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      22 of 54
    ","
      22 of 54
    ","
      0 of 6
    ","
      0
    ","
      0
    ","
      0
    ","
      37 of 77
    ","
      3 of 6
    ","
      1 of 3
    ","
      24 of 54
    ","
      13 of 24
    ","
      4 of 8
    ","
      14 of 39
    ","
      6 of 12
    ","
      2 of 3
    ","
      19 of 49
    ","
      3 of 5
    ","
      0 of 0
    "
win,Flyweight,U-DEC,5,5:00,Sergio Pettis,Brandon Moreno,http://www.fightmetric.com/fight-details/253e42894852b26a,"August 05, 2017","
      0
    ","
      76 of 235
    ","
      84 of 244
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      45 of 161
    ","
      70 of 193
    ","
      4 of 8
    ","
      0
    ","
      1
    ","
      0
    ","
      55 of 203
    ","
      11 of 17
    ","
      10 of 15
    ","
      72 of 230
    ","
      2 of 2
    ","
      2 of 3
    ","
      26 of 130
    ","
      12 of 19
    ","
      7 of 12
    ","
      38 of 147
    ","
      1 of 4
    ","
      6 of 10
    "
win,Women's Strawweight,S-DEC,3,5:00,Alexa Grasso,Randa Markos,http://www.fightmetric.com/fight-details/d5598322f81db6c9,"August 05, 2017","
      0
    ","
      45 of 113
    ","
      71 of 141
    ","
      4 of 11
    ","
      0
    ","
      5
    ","
      1
    ","
      0
    ","
      64 of 157
    ","
      121 of 224
    ","
      0 of 0
    ","
      0
    ","
      1
    ","
      1
    ","
      40 of 106
    ","
      5 of 7
    ","
      0 of 0
    ","
      29 of 91
    ","
      6 of 9
    ","
      10 of 13
    ","
      44 of 133
    ","
      7 of 10
    ","
      13 of 14
    ","
      47 of 137
    ","
      13 of 16
    ","
      4 of 4
    "
win,Welterweight,"KO/TKO

      

      
        Punch",1,1:44,Niko Price,Alan Jouban,http://www.fightmetric.com/fight-details/cd54325a9a538837,"August 05, 2017","
      0
    ","
      5 of 9
    ","
      5 of 9
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      10 of 19
    ","
      10 of 19
    ","
      0 of 0
    ","
      0
    ","
      1
    ","
      0
    ","
      3 of 7
    ","
      1 of 1
    ","
      1 of 1
    ","
      5 of 9
    ","
      0 of 0
    ","
      0 of 0
    ","
      6 of 15
    ","
      1 of 1
    ","
      3 of 3
    ","
      6 of 13
    ","
      0 of 0
    ","
      4 of 6
    "
win,Featherweight,"KO/TKO

      

      
        Kick",1,0:26,Humberto Bandenay,Martin Bravo,http://www.fightmetric.com/fight-details/2f9b9ef5f6833aa1,"August 05, 2017","
      0
    ","
      1 of 3
    ","
      1 of 3
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      5 of 7
    ","
      5 of 7
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0 of 1
    ","
      1 of 1
    ","
      0 of 1
    ","
      1 of 3
    ","
      0 of 0
    ","
      0 of 0
    ","
      3 of 5
    ","
      1 of 1
    ","
      1 of 1
    ","
      3 of 5
    ","
      0 of 0
    ","
      2 of 2
    "
win,Middleweight,S-DEC,3,5:00,Sam Alvey,Rashad Evans,http://www.fightmetric.com/fight-details/c8f619a71b714ec7,"August 05, 2017","
      0
    ","
      40 of 87
    ","
      51 of 99
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      17 of 45
    ","
      28 of 58
    ","
      2 of 8
    ","
      0
    ","
      0
    ","
      0
    ","
      24 of 69
    ","
      16 of 18
    ","
      0 of 0
    ","
      20 of 62
    ","
      20 of 25
    ","
      0 of 0
    ","
      8 of 32
    ","
      5 of 9
    ","
      4 of 4
    ","
      15 of 43
    ","
      2 of 2
    ","
      0 of 0
    "
win,Bantamweight,S-DEC,3,5:00,Alejandro Perez,Andre Soukhamthath,http://www.fightmetric.com/fight-details/48f7e64b548806cd,"August 05, 2017","
      0
    ","
      44 of 141
    ","
      97 of 195
    ","
      1 of 6
    ","
      0
    ","
      1
    ","
      0
    ","
      3
    ","
      43 of 107
    ","
      44 of 108
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      22 of 107
    ","
      6 of 9
    ","
      16 of 25
    ","
      38 of 128
    ","
      3 of 7
    ","
      3 of 6
    ","
      26 of 86
    ","
      9 of 11
    ","
      8 of 10
    ","
      42 of 102
    ","
      1 of 5
    ","
      0 of 0
    "
win,Middleweight,"KO/TKO

      

      
        Punch",1,3:50,Jack Hermansson,Bradley Scott,http://www.fightmetric.com/fight-details/a3e4322f55454897,"August 05, 2017","
      0
    ","
      0 of 4
    ","
      0 of 4
    ","
      0 of 0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      38 of 54
    ","
      49 of 65
    ","
      1 of 1
    ","
      0
    ","
      2
    ","
      0
    ","
      0 of 3
    ","
      0 of 1
    ","
      0 of 0
    ","
      0 of 4
    ","
      0 of 0
    ","
      0 of 0
    ","
      35 of 49
    ","
      0 of 1
    ","
      3 of 4
    ","
      4 of 6
    ","
      0 of 0
    ","
      34 of 48
    "
win,Flyweight,"KO/TKO

      

      
        Punch",1,0:15,Dustin Ortiz,Hector Sandoval,http://www.fightmetric.com/fight-details/02732ebb104793d2,"August 05, 2017","
      1
    ","
      8 of 10
    ","
      8 of 10
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 6
    ","
      1 of 6
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      7 of 9
    ","
      1 of 1
    ","
      0 of 0
    ","
      4 of 6
    ","
      0 of 0
    ","
      4 of 4
    ","
      1 of 6
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 6
    ","
      0 of 0
    ","
      0 of 0
    "
win,Bantamweight,"SUB

      

      
        Kimura",1,2:01,Rani Yahya,Henry Briones,http://www.fightmetric.com/fight-details/19348172178f42ed,"August 05, 2017","
      0
    ","
      0 of 0
    ","
      9 of 10
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      3 of 4
    ","
      14 of 15
    ","
      1 of 2
    ","
      2
    ","
      2
    ","
      0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 2
    ","
      0 of 0
    ","
      2 of 2
    ","
      2 of 3
    ","
      0 of 0
    ","
      1 of 1
    "
win,Bantamweight,U-DEC,3,5:00,Jose Quinonez,Diego Rivas,http://www.fightmetric.com/fight-details/0b89c88d506da083,"August 05, 2017","
      0
    ","
      59 of 112
    ","
      70 of 125
    ","
      1 of 4
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      27 of 76
    ","
      29 of 78
    ","
      1 of 1
    ","
      2
    ","
      1
    ","
      1
    ","
      34 of 81
    ","
      11 of 17
    ","
      14 of 14
    ","
      48 of 92
    ","
      1 of 4
    ","
      10 of 16
    ","
      11 of 51
    ","
      6 of 12
    ","
      10 of 13
    ","
      25 of 74
    ","
      1 of 1
    ","
      1 of 1
    "
win,Flyweight,"SUB

      

      
        Rear Naked Choke",1,3:56,Joseph Morales,Roberto Sanchez,http://www.fightmetric.com/fight-details/a3723f0f672b0912,"August 05, 2017","
      1
    ","
      12 of 22
    ","
      15 of 26
    ","
      0 of 0
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      2 of 6
    ","
      12 of 19
    ","
      1 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      12 of 22
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 4
    ","
      1 of 2
    ","
      10 of 16
    ","
      2 of 5
    ","
      0 of 1
    ","
      0 of 0
    ","
      1 of 3
    ","
      0 of 0
    ","
      1 of 3
    "
win,Lightweight,"SUB

      

      
        Other - Choke",1,2:01,Jordan Rinaldi,Alvaro Herrera,http://www.fightmetric.com/fight-details/e02fca0d258283ce,"August 05, 2017","
      0
    ","
      2 of 7
    ","
      2 of 7
    ","
      0 of 0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      6 of 12
    ","
      7 of 13
    ","
      0 of 0
    ","
      1
    ","
      1
    ","
      0
    ","
      2 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      2 of 7
    ","
      0 of 0
    ","
      0 of 0
    ","
      3 of 5
    ","
      0 of 3
    ","
      3 of 4
    ","
      6 of 12
    ","
      0 of 0
    ","
      0 of 0
    "
"nc
                  


                  
                    nc",Light Heavyweight,"Overturned

      

      
        Kick",3,3:01,Daniel Cormier,Jon Jones,http://www.fightmetric.com/fight-details/5ab286735ccee803,"July 29, 2017","
      0
    ","
      58 of 140
    ","
      60 of 142
    ","
      0 of 3
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      95 of 165
    ","
      95 of 165
    ","
      0 of 3
    ","
      0
    ","
      0
    ","
      0
    ","
      29 of 99
    ","
      12 of 16
    ","
      17 of 25
    ","
      46 of 123
    ","
      12 of 17
    ","
      0 of 0
    ","
      33 of 74
    ","
      32 of 43
    ","
      30 of 48
    ","
      76 of 142
    ","
      4 of 6
    ","
      15 of 17
    "
win,Welterweight,U-DEC,5,5:00,Tyron Woodley,Demian Maia,http://www.fightmetric.com/fight-details/30553d630491094a,"July 29, 2017","
      1
    ","
      57 of 153
    ","
      57 of 153
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      28 of 89
    ","
      29 of 90
    ","
      0 of 21
    ","
      0
    ","
      0
    ","
      0
    ","
      40 of 131
    ","
      13 of 18
    ","
      4 of 4
    ","
      56 of 152
    ","
      1 of 1
    ","
      0 of 0
    ","
      23 of 83
    ","
      2 of 3
    ","
      3 of 3
    ","
      26 of 87
    ","
      2 of 2
    ","
      0 of 0
    "
win,Women's Featherweight,"KO/TKO

      

      
        Knees",3,1:56,Cris Cyborg,Tonya Evinger,http://www.fightmetric.com/fight-details/79817ab0129c5598,"July 29, 2017","
      1
    ","
      74 of 143
    ","
      75 of 144
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      32 of 85
    ","
      34 of 87
    ","
      1 of 4
    ","
      0
    ","
      0
    ","
      0
    ","
      38 of 99
    ","
      15 of 22
    ","
      21 of 22
    ","
      58 of 115
    ","
      11 of 22
    ","
      5 of 6
    ","
      13 of 54
    ","
      9 of 17
    ","
      10 of 14
    ","
      28 of 78
    ","
      4 of 7
    ","
      0 of 0
    "
win,Welterweight,U-DEC,3,5:00,Robbie Lawler,Donald Cerrone,http://www.fightmetric.com/fight-details/b8c967c742d3c107,"July 29, 2017","
      0
    ","
      77 of 156
    ","
      85 of 164
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      82 of 166
    ","
      99 of 185
    ","
      1 of 10
    ","
      0
    ","
      2
    ","
      0
    ","
      47 of 116
    ","
      28 of 37
    ","
      2 of 3
    ","
      35 of 101
    ","
      42 of 55
    ","
      0 of 0
    ","
      50 of 127
    ","
      26 of 32
    ","
      6 of 7
    ","
      56 of 125
    ","
      25 of 40
    ","
      1 of 1
    "
win,Light Heavyweight,"KO/TKO

      

      
        Punches",1,0:42,Volkan Oezdemir,Jimi Manuwa,http://www.fightmetric.com/fight-details/49694c2d00c581ed,"July 29, 2017","
      0
    ","
      2 of 4
    ","
      2 of 4
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      12 of 19
    ","
      13 of 20
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      0 of 2
    ","
      1 of 1
    ","
      1 of 1
    ","
      0 of 2
    ","
      2 of 2
    ","
      0 of 0
    ","
      10 of 17
    ","
      1 of 1
    ","
      1 of 1
    ","
      3 of 7
    ","
      8 of 9
    ","
      1 of 3
    "
win,Featherweight,"KO/TKO

      

      
        Punches",1,4:34,Ricardo Lamas,Jason Knight,http://www.fightmetric.com/fight-details/dffad417175400ba,"July 29, 2017","
      0
    ","
      42 of 62
    ","
      43 of 63
    ","
      1 of 1
    ","
      0
    ","
      2
    ","
      0
    ","
      0
    ","
      8 of 35
    ","
      18 of 45
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      37 of 55
    ","
      2 of 4
    ","
      3 of 3
    ","
      25 of 40
    ","
      7 of 9
    ","
      10 of 13
    ","
      7 of 33
    ","
      1 of 1
    ","
      0 of 1
    ","
      5 of 26
    ","
      2 of 7
    ","
      1 of 2
    "
win,Catch Weight,U-DEC,3,5:00,Aljamain Sterling,Renan Barao,http://www.fightmetric.com/fight-details/ac9e19a4075f6557,"July 29, 2017","
      0
    ","
      71 of 121
    ","
      112 of 166
    ","
      1 of 1
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      19 of 85
    ","
      65 of 138
    ","
      2 of 3
    ","
      0
    ","
      3
    ","
      0
    ","
      41 of 81
    ","
      15 of 23
    ","
      15 of 17
    ","
      36 of 82
    ","
      7 of 8
    ","
      28 of 31
    ","
      10 of 65
    ","
      6 of 13
    ","
      3 of 7
    ","
      9 of 70
    ","
      2 of 2
    ","
      8 of 13
    "
win,Featherweight,"SUB

      

      
        Guillotine Choke",3,2:59,Brian Ortega,Renato Moicano,http://www.fightmetric.com/fight-details/4924d7a980f4cde2,"July 29, 2017","
      0
    ","
      65 of 220
    ","
      65 of 220
    ","
      0 of 2
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      109 of 252
    ","
      111 of 254
    ","
      2 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      49 of 198
    ","
      14 of 19
    ","
      2 of 3
    ","
      64 of 217
    ","
      1 of 3
    ","
      0 of 0
    ","
      91 of 229
    ","
      8 of 13
    ","
      10 of 10
    ","
      109 of 252
    ","
      0 of 0
    ","
      0 of 0
    "
win,Featherweight,U-DEC,3,5:00,Calvin Kattar,Andre Fili,http://www.fightmetric.com/fight-details/3d95b4f94ccffa96,"July 29, 2017","
      0
    ","
      73 of 202
    ","
      75 of 205
    ","
      0 of 2
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      75 of 160
    ","
      80 of 166
    ","
      2 of 3
    ","
      0
    ","
      0
    ","
      0
    ","
      51 of 173
    ","
      9 of 14
    ","
      13 of 15
    ","
      70 of 193
    ","
      3 of 9
    ","
      0 of 0
    ","
      55 of 137
    ","
      8 of 10
    ","
      12 of 13
    ","
      66 of 143
    ","
      1 of 5
    ","
      8 of 12
    "
win,Women's Strawweight,U-DEC,3,5:00,Alexandra Albu,Kailin Curran,http://www.fightmetric.com/fight-details/e80a8338d86e730b,"July 29, 2017","
      0
    ","
      86 of 157
    ","
      153 of 232
    ","
      1 of 3
    ","
      0
    ","
      2
    ","
      1
    ","
      0
    ","
      82 of 181
    ","
      109 of 221
    ","
      5 of 8
    ","
      0
    ","
      2
    ","
      0
    ","
      62 of 127
    ","
      17 of 22
    ","
      7 of 8
    ","
      60 of 118
    ","
      13 of 19
    ","
      13 of 20
    ","
      60 of 150
    ","
      20 of 29
    ","
      2 of 2
    ","
      47 of 138
    ","
      20 of 25
    ","
      15 of 18
    "
win,Flyweight,S-DEC,3,5:00,Jarred Brooks,Eric Shelton,http://www.fightmetric.com/fight-details/4f4806952ba2a72c,"July 29, 2017","
      0
    ","
      31 of 87
    ","
      65 of 123
    ","
      1 of 2
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      27 of 80
    ","
      32 of 87
    ","
      5 of 8
    ","
      1
    ","
      1
    ","
      0
    ","
      26 of 79
    ","
      5 of 8
    ","
      0 of 0
    ","
      19 of 73
    ","
      1 of 2
    ","
      11 of 12
    ","
      15 of 66
    ","
      7 of 9
    ","
      5 of 5
    ","
      20 of 72
    ","
      2 of 3
    ","
      5 of 5
    "
win,Lightweight,"KO/TKO

      

      
        Punch",1,3:04,Drew Dober,Joshua Burkman,http://www.fightmetric.com/fight-details/3636e085c098dbda,"July 29, 2017","
      0
    ","
      11 of 18
    ","
      11 of 18
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      15 of 29
    ","
      20 of 34
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      4 of 7
    ","
      4 of 6
    ","
      3 of 5
    ","
      7 of 14
    ","
      4 of 4
    ","
      0 of 0
    ","
      5 of 17
    ","
      4 of 6
    ","
      6 of 6
    ","
      9 of 21
    ","
      5 of 7
    ","
      1 of 1
    "
win,Middleweight,"SUB

      

      
        Arm Triangle",3,3:45,Chris Weidman,Kelvin Gastelum,http://www.fightmetric.com/fight-details/5be97c1fa222093d,"July 22, 2017","
      0
    ","
      36 of 76
    ","
      75 of 124
    ","
      7 of 13
    ","
      2
    ","
      5
    ","
      0
    ","
      1
    ","
      26 of 47
    ","
      28 of 50
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      25 of 59
    ","
      6 of 12
    ","
      5 of 5
    ","
      24 of 59
    ","
      6 of 9
    ","
      6 of 8
    ","
      21 of 42
    ","
      4 of 4
    ","
      1 of 1
    ","
      14 of 34
    ","
      2 of 3
    ","
      10 of 10
    "
win,Featherweight,S-DEC,3,5:00,Darren Elkins,Dennis Bermudez,http://www.fightmetric.com/fight-details/8028d5de087755dc,"July 22, 2017","
      0
    ","
      69 of 160
    ","
      101 of 194
    ","
      1 of 6
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      70 of 154
    ","
      99 of 189
    ","
      3 of 10
    ","
      2
    ","
      2
    ","
      0
    ","
      39 of 126
    ","
      18 of 21
    ","
      12 of 13
    ","
      47 of 125
    ","
      22 of 34
    ","
      0 of 1
    ","
      42 of 119
    ","
      24 of 31
    ","
      4 of 4
    ","
      34 of 107
    ","
      33 of 44
    ","
      3 of 3
    "
win,Light Heavyweight,S-DEC,3,5:00,Patrick Cummins,Gian Villante,http://www.fightmetric.com/fight-details/76d6789779d3721c,"July 22, 2017","
      0
    ","
      86 of 182
    ","
      92 of 188
    ","
      1 of 11
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      72 of 196
    ","
      85 of 210
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      70 of 163
    ","
      7 of 9
    ","
      9 of 10
    ","
      74 of 164
    ","
      12 of 18
    ","
      0 of 0
    ","
      66 of 189
    ","
      3 of 4
    ","
      3 of 3
    ","
      67 of 189
    ","
      0 of 1
    ","
      5 of 6
    "
win,Bantamweight,U-DEC,3,5:00,Jimmie Rivera,Thomas Almeida,http://www.fightmetric.com/fight-details/7c23770c639dcd22,"July 22, 2017","
      2
    ","
      70 of 160
    ","
      75 of 165
    ","
      2 of 6
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      72 of 167
    ","
      72 of 167
    ","
      0 of 0
    ","
      0
    ","
      0
    ","
      0
    ","
      38 of 114
    ","
      17 of 29
    ","
      15 of 17
    ","
      58 of 146
    ","
      8 of 10
    ","
      4 of 4
    ","
      36 of 121
    ","
      13 of 20
    ","
      23 of 26
    ","
      67 of 160
    ","
      5 of 7
    ","
      0 of 0
    "
win,Welterweight,S-DEC,3,5:00,Elizeu Zaleski dos Santos,Lyman Good,http://www.fightmetric.com/fight-details/657fd7ab7bdf9f15,"July 22, 2017","
      0
    ","
      75 of 165
    ","
      89 of 182
    ","
      1 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      83 of 219
    ","
      84 of 220
    ","
      1 of 7
    ","
      0
    ","
      0
    ","
      0
    ","
      57 of 146
    ","
      15 of 16
    ","
      3 of 3
    ","
      54 of 140
    ","
      20 of 24
    ","
      1 of 1
    ","
      56 of 181
    ","
      13 of 22
    ","
      14 of 16
    ","
      67 of 198
    ","
      16 of 21
    ","
      0 of 0
    "
win,Middleweight,"KO/TKO

      

      
        Punch",1,2:54,Eryk Anders,Rafael Natal,http://www.fightmetric.com/fight-details/7e2bc09d866b3bd7,"July 22, 2017","
      0
    ","
      14 of 23
    ","
      15 of 24
    ","
      0 of 1
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      23 of 29
    ","
      23 of 29
    ","
      1 of 2
    ","
      0
    ","
      2
    ","
      0
    ","
      8 of 16
    ","
      2 of 3
    ","
      4 of 4
    ","
      13 of 20
    ","
      1 of 3
    ","
      0 of 0
    ","
      22 of 28
    ","
      1 of 1
    ","
      0 of 0
    ","
      10 of 13
    ","
      2 of 2
    ","
      11 of 14
    "
win,Welterweight,"KO/TKO

      

      
        Punch",2,1:50,Alex Oliveira,Ryan LaFlare,http://www.fightmetric.com/fight-details/d0e5487f55c57ad2,"July 22, 2017","
      0
    ","
      5 of 14
    ","
      8 of 17
    ","
      0 of 2
    ","
      0
    ","
      2
    ","
      0
    ","
      1
    ","
      8 of 21
    ","
      8 of 21
    ","
      0 of 1
    ","
      1
    ","
      0
    ","
      0
    ","
      2 of 10
    ","
      3 of 4
    ","
      0 of 0
    ","
      2 of 11
    ","
      0 of 0
    ","
      3 of 3
    ","
      4 of 17
    ","
      1 of 1
    ","
      3 of 3
    ","
      6 of 18
    ","
      2 of 2
    ","
      0 of 1
    "
